PCODE,HIT_VEL,HIT_ANG_VER,R,RBI,NAME,GYEAR,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,AGE_VA,OBP,OPS
67304,132.84,6.85,79.0,45.0,김혜성,2018,136,473,430,0.27,116,5,158,0.367,2,33,119,1,5,6,19,0.3276595744680851,0.694659574468085
67341,136.6,11.9,81.0,57.0,이정후,2018,109,520,459,0.355,163,6,219,0.477,8,42,58,3,8,5,19,0.4119922630560928,0.8889922630560928
67394,141.48,18.4,55.0,61.0,초이스,2018,96,397,349,0.258,90,17,160,0.458,5,33,79,2,10,4,28,0.3350125944584383,0.7930125944584383
67450,144.43,13.6,97.0,125.0,러프,2018,137,597,506,0.33,167,33,306,0.605,8,65,107,0,18,17,31,0.4187604690117253,1.0237604690117252
67539,133.7,10.4,15.0,11.0,나종덕,2018,106,203,177,0.124,22,2,31,0.175,0,12,85,0,5,2,20,0.20103092783505155,0.37603092783505154
67598,140.79,16.1,80.0,64.0,번즈,2018,133,505,462,0.268,124,23,237,0.513,0,33,133,2,9,8,27,0.32936507936507936,0.8423650793650794
67650,141.70499999999998,13.05,106.0,70.0,버나디나,2018,131,590,513,0.31,159,20,250,0.487,1,63,103,3,10,9,34,0.39522998296422485,0.8822299829642248
67872,141.89,19.4,102.0,107.0,로맥,2018,141,616,528,0.316,167,43,315,0.597,6,72,123,0,10,7,32,0.4042207792207792,1.0012207792207792
67893,127.42,7.8,3.0,2.0,박성한,2018,42,59,52,0.135,7,0,8,0.154,0,7,16,0,0,0,20,0.23728813559322035,0.39128813559322034
67935,139.825,21.35,75.0,97.0,스크럭스,2018,142,571,501,0.257,129,26,242,0.483,3,55,144,2,12,14,30,0.3432574430823117,0.8262574430823117
68050,144.58,16.3,108.0,84.0,강백호,2018,138,585,527,0.29,153,29,276,0.524,3,52,124,0,3,4,18,0.35555555555555557,0.8795555555555556
68103,140.19,13.1,27.0,34.0,가르시아,2018,50,206,183,0.339,62,8,95,0.519,6,9,25,0,8,3,33,0.38349514563106796,0.9024951456310679
68244,145.72,16.2,7.0,4.0,파레디스,2018,21,71,65,0.138,9,1,16,0.246,1,4,17,1,1,0,29,0.19718309859154928,0.44318309859154925
68245,127.65,39.150000000000006,1.0,4.0,반슬라이크,2018,12,44,39,0.128,5,1,9,0.231,1,4,6,0,0,2,31,0.20454545454545456,0.43554545454545457
68345,151.44,17.4,17.0,37.0,샌즈,2018,25,93,86,0.314,27,12,66,0.767,1,6,27,0,0,2,30,0.3548387096774194,1.1218387096774194
68525,140.8,5.7,24.0,25.0,한동희,2018,87,226,211,0.232,49,4,76,0.36,1,12,58,0,2,7,19,0.27876106194690264,0.6387610619469026
68730,136.195,22.1,85.0,110.0,호잉,2018,142,590,529,0.306,162,30,303,0.573,5,51,93,10,5,5,29,0.3694915254237288,0.9424915254237287
68743,129.85,10.3,33.0,20.0,정은원,2018,98,227,201,0.249,50,4,73,0.363,1,22,50,0,1,0,18,0.3244444444444444,0.6874444444444444
68912,132.39,19.3,6.0,2.0,김형준,2018,60,89,81,0.16,13,0,14,0.173,0,7,32,0,1,3,18,0.23595505617977527,0.40895505617977523
70410,142.51999999999998,13.8,71.0,93.0,김주찬,2018,121,471,429,0.34,146,18,223,0.52,10,23,57,5,7,15,37,0.3752665245202559,0.8952665245202559
70553,135.73,6.7,17.0,15.0,박기혁,2018,98,196,173,0.214,37,1,46,0.266,3,13,50,0,2,8,37,0.27225130890052357,0.5382513089005236
70756,143.92,18.35,41.0,69.0,이범호,2018,101,380,332,0.28,93,20,160,0.482,2,42,59,4,4,12,36,0.36578947368421055,0.8477894736842105
71184,129.98000000000002,11.05,10.0,5.0,이성우,2018,88,134,120,0.242,29,0,34,0.283,1,8,16,0,1,4,36,0.2923076923076923,0.5753076923076923
71432,139.74,14.5,47.0,43.0,박한이,2018,114,392,342,0.284,97,10,143,0.418,1,43,91,2,0,9,39,0.3626943005181347,0.7806943005181347
71552,139.26,10.4,7.0,24.0,최준석,2018,93,179,153,0.255,39,4,54,0.353,2,24,41,0,0,6,35,0.35195530726256985,0.7049553072625698
71564,141.875,15.55,81.0,125.0,이대호,2018,144,604,543,0.333,181,37,322,0.593,4,43,75,7,14,18,36,0.39403973509933776,0.9870397350993377
71752,143.37,14.7,25.0,34.0,김태균,2018,73,271,254,0.315,80,10,121,0.476,0,13,56,1,4,7,36,0.35793357933579334,0.8339335793357934
71837,134.63,18.2,40.0,46.0,김강민,2018,80,267,235,0.298,70,14,126,0.536,0,22,57,0,5,1,35,0.3702290076335878,0.9062290076335878
71842,134.85500000000002,15.75,11.0,9.0,정상호,2018,70,128,112,0.223,25,1,32,0.286,0,8,35,0,5,3,35,0.304,0.59
72133,141.86,14.9,89.0,76.0,박용택,2018,134,583,524,0.303,159,15,244,0.466,7,47,107,0,5,21,39,0.36192109777015435,0.8279210977701543
72443,145.28,14.95,92.0,103.0,최형우,2018,143,609,528,0.339,179,25,290,0.549,8,66,87,7,7,17,34,0.41379310344827586,0.962793103448276
72456,125.83,12.9,26.0,28.0,손주인,2018,98,297,265,0.238,63,4,85,0.321,4,11,40,0,7,11,34,0.28222996515679444,0.6032299651567945
72466,121.61,16.05,5.0,2.0,조동찬,2018,28,59,54,0.222,12,1,16,0.296,0,4,14,0,0,2,34,0.27586206896551724,0.5718620689655172
72546,133.82,16.1,42.0,41.0,문규현,2018,122,349,316,0.275,87,6,126,0.399,6,18,45,0,0,9,35,0.3088235294117647,0.7078235294117647
73113,140.69,20.6,65.0,74.0,박경수,2018,135,528,458,0.262,120,25,216,0.472,3,58,129,2,9,16,34,0.3541666666666667,0.8261666666666667
73136,148.26,11.7,76.0,102.0,이성열,2018,131,528,485,0.295,143,34,268,0.553,2,35,143,3,5,9,33,0.34724857685009486,0.900248576850095
73209,131.81,20.1,54.0,56.0,나주환,2018,119,420,362,0.262,95,12,155,0.428,2,38,66,0,5,2,34,0.33906633906633904,0.767066339066339
73213,124.68,14.9,12.0,14.0,손시헌,2018,67,150,128,0.188,24,2,34,0.266,1,15,20,0,5,3,37,0.2953020134228188,0.5613020134228188
73306,134.61,2.3,9.0,8.0,지석훈,2018,67,105,94,0.181,17,1,22,0.234,3,8,20,0,0,2,34,0.23809523809523808,0.4720952380952381
73339,132.81,6.05,12.0,8.0,이종욱,2018,43,128,122,0.23,28,1,38,0.311,1,4,16,0,0,2,38,0.25196850393700787,0.5629685039370078
73342,138.45499999999998,8.75,40.0,52.0,이택근,2018,104,356,308,0.308,95,4,134,0.435,4,32,44,0,9,14,38,0.38526912181303113,0.8202691218130311
73606,136.76,11.3,3.0,2.0,서동욱,2018,32,56,49,0.204,10,0,13,0.265,1,5,15,0,1,1,34,0.2857142857142857,0.5507142857142857
74163,129.15,9.55,82.0,36.0,이용규,2018,134,575,491,0.293,144,1,163,0.332,5,59,62,0,12,8,32,0.37918871252204583,0.7111887125220459
74206,137.345,19.200000000000003,78.0,75.0,김재호,2018,131,467,402,0.311,125,16,193,0.48,6,52,77,1,4,12,33,0.3900862068965517,0.8700862068965517
74215,141.54500000000002,13.5,58.0,60.0,윤석민,2018,132,509,460,0.276,127,19,206,0.448,3,40,69,2,4,17,32,0.33727810650887574,0.7852781065088758
74339,137.75,11.4,59.0,83.0,유한준,2018,121,480,428,0.339,145,20,228,0.533,1,47,53,3,2,9,37,0.40585774058577406,0.9388577405857741
74465,142.01999999999998,14.35,40.0,55.0,박석민,2018,103,375,318,0.255,81,16,145,0.456,3,39,80,4,15,11,33,0.36,0.8160000000000001
74540,140.925,12.8,46.0,71.0,강민호,2018,129,477,427,0.269,115,22,195,0.457,7,29,96,5,14,11,32,0.3312368972746331,0.7882368972746332
74729,137.70499999999998,10.7,14.0,13.0,최진행,2018,57,154,136,0.213,29,7,53,0.39,0,15,53,0,3,5,32,0.3051948051948052,0.6951948051948051
74823,129.095,11.45,10.0,7.0,임훈,2018,54,88,83,0.229,19,2,28,0.337,0,3,15,0,0,3,32,0.2558139534883721,0.5928139534883721
75125,149.75,18.2,88.0,112.0,박병호,2018,113,488,400,0.345,138,43,287,0.718,3,68,114,10,17,9,32,0.4569672131147541,1.174967213114754
75151,136.04,14.7,27.0,38.0,정의윤,2018,73,239,217,0.272,59,11,101,0.465,1,19,29,1,2,8,31,0.33472803347280333,0.7997280334728034
75334,145.01,22.25,69.0,80.0,오재일,2018,123,477,401,0.279,112,27,216,0.539,10,60,121,2,6,3,31,0.3731656184486373,0.9121656184486373
75566,136.13,20.15,74.0,93.0,이원석,2018,128,543,479,0.301,144,20,236,0.493,5,52,103,1,7,10,31,0.3738489871086556,0.8668489871086555
75808,135.04,12.5,63.0,57.0,정근우,2018,102,425,375,0.304,114,11,173,0.461,3,39,43,1,7,12,35,0.37735849056603776,0.8383584905660377
75847,142.55,25.8,95.0,74.0,최정,2018,115,489,406,0.244,99,35,222,0.547,2,58,129,2,23,10,31,0.36809815950920244,0.9150981595092025
76100,148.3,13.8,31.0,39.0,이병규,2018,103,257,198,0.273,54,10,97,0.49,2,50,58,1,7,5,34,0.43190661478599224,0.9219066147859922
76158,139.76,17.5,5.0,11.0,최승준,2018,27,79,72,0.25,18,4,33,0.458,0,6,25,0,1,3,30,0.31645569620253167,0.7744556962025317
76232,143.61,17.4,84.0,77.0,양의지,2018,133,503,439,0.358,157,23,257,0.585,6,45,40,6,13,13,31,0.4274353876739563,1.0124353876739562
76249,140.415,14.15,74.0,66.0,민병헌,2018,118,494,443,0.318,141,17,213,0.481,6,35,68,3,8,10,31,0.37398373983739835,0.8549837398373983
76267,145.695,18.65,87.0,108.0,최주환,2018,138,590,519,0.333,173,26,302,0.582,10,51,89,1,10,5,30,0.39661016949152544,0.9786101694915255
76290,146.485,11.25,95.0,101.0,김현수,2018,117,511,453,0.362,164,20,267,0.589,10,47,61,6,1,9,30,0.41487279843444225,1.0038727984344422
76313,136.31,22.45,76.0,88.0,황재균,2018,142,588,530,0.296,157,25,279,0.526,3,49,120,1,4,5,30,0.3583617747440273,0.8843617747440273
76368,130.35,14.1,19.0,8.0,유재신,2018,46,40,33,0.424,14,1,22,0.667,0,7,10,0,0,0,30,0.525,1.1920000000000002
76509,130.84,12.7,12.0,16.0,김문호,2018,46,115,100,0.25,25,2,38,0.38,0,13,27,1,0,2,31,0.336283185840708,0.7162831858407079
76720,128.715,20.7,20.0,18.0,정범모,2018,103,219,190,0.179,34,4,55,0.289,3,15,62,0,4,4,31,0.25,0.5389999999999999
76746,136.55,12.4,5.0,5.0,김태완,2018,29,74,66,0.197,13,1,18,0.273,1,5,25,1,2,4,34,0.2702702702702703,0.5432702702702703
76753,141.065,9.5,63.0,79.0,송광민,2018,113,460,434,0.297,129,18,207,0.477,4,18,93,0,4,13,35,0.3282608695652174,0.8052608695652174
76802,130.22,13.6,51.0,55.0,김성현,2018,135,462,415,0.277,115,4,148,0.357,3,29,42,0,9,19,31,0.3355263157894737,0.6925263157894737
76812,139.14,13.6,63.0,57.0,이재원,2018,130,471,407,0.329,134,17,209,0.514,5,43,65,0,12,13,30,0.40471092077087795,0.9187109207708779
76849,132.765,4.9,88.0,42.0,이명기,2018,120,502,447,0.302,135,4,187,0.418,1,40,64,3,3,5,30,0.3625254582484725,0.7805254582484724
76869,127.86000000000001,18.5,22.0,18.0,김재현,2018,53,77,65,0.277,18,1,24,0.369,0,9,17,0,3,0,30,0.38961038961038963,0.7586103896103896
77248,140.4,9.55,78.0,81.0,오재원,2018,132,521,473,0.313,148,15,219,0.463,2,41,119,0,2,13,33,0.3687258687258687,0.8317258687258687
77463,143.78,10.1,44.0,75.0,채태인,2018,130,420,376,0.293,110,15,173,0.46,4,34,107,3,5,10,35,0.3556085918854415,0.8156085918854415
77532,144.86,8.6,109.0,93.0,손아섭,2018,141,625,553,0.329,182,26,302,0.546,1,68,99,1,2,15,30,0.40384615384615385,0.9498461538461539
77564,136.265,19.2,46.0,45.0,김민성,2018,128,465,413,0.283,117,10,171,0.414,5,40,80,3,6,6,29,0.35129310344827586,0.7652931034482758
78135,136.84,10.6,83.0,42.0,이형종,2018,118,485,437,0.316,138,13,204,0.467,0,31,82,0,12,6,29,0.3770833333333333,0.8440833333333333
78168,134.025,9.8,28.0,15.0,서건창,2018,37,160,141,0.34,48,0,60,0.426,2,12,19,0,3,1,28,0.3987341772151899,0.8247341772151899
78217,134.10000000000002,7.2,28.0,13.0,김용의,2018,114,185,159,0.233,37,0,39,0.245,3,16,32,1,0,1,32,0.29775280898876405,0.5427528089887641
78224,149.71,18.1,104.0,133.0,김재환,2018,139,602,527,0.334,176,44,346,0.657,7,59,134,4,9,6,29,0.4053156146179402,1.0623156146179402
78288,135.535,9.1,36.0,27.0,최재훈,2018,128,341,298,0.262,78,1,98,0.329,2,20,61,0,15,8,28,0.3373134328358209,0.6663134328358209
78513,142.04000000000002,12.75,118.0,90.0,전준우,2018,144,614,556,0.342,190,33,329,0.592,2,48,82,1,7,12,32,0.399673735725938,0.991673735725938
78548,140.17,14.6,41.0,48.0,장성우,2018,127,393,356,0.258,92,13,144,0.404,2,32,82,0,2,8,28,0.32142857142857145,0.7254285714285715
78603,136.16,8.3,73.0,49.0,김선빈,2018,127,492,424,0.295,125,4,158,0.373,5,48,42,1,9,10,28,0.37448559670781895,0.7474855967078189
78629,141.11,20.7,50.0,78.0,나지완,2018,114,379,317,0.271,86,26,182,0.574,5,38,81,2,19,14,33,0.37730870712401055,0.9513087071240105
78643,140.59,5.6,7.0,4.0,백용환,2018,34,57,47,0.277,13,0,14,0.298,0,9,15,0,0,3,29,0.39285714285714285,0.6908571428571428
78753,145.54,14.4,11.0,5.0,김지열,2018,38,48,45,0.2,9,1,16,0.356,0,3,13,0,0,2,29,0.25,0.606
78756,129.0,6.9,14.0,9.0,오선진,2018,56,148,133,0.226,30,1,37,0.278,0,7,33,0,5,2,29,0.2896551724137931,0.5676551724137932
78813,138.45,16.4,38.0,62.0,모창민,2018,81,314,287,0.279,80,17,143,0.498,4,21,51,0,2,10,33,0.32802547770700635,0.8260254777070064
79109,142.61,13.3,93.0,71.0,오지환,2018,144,617,533,0.278,148,11,211,0.396,6,59,146,3,7,6,28,0.3537190082644628,0.7497190082644628
79150,138.245,12.6,48.0,31.0,정주현,2018,115,339,303,0.261,79,6,115,0.38,1,27,68,0,2,9,27,0.32432432432432434,0.7043243243243243
79192,142.7,12.75,78.0,119.0,채은성,2018,139,578,529,0.331,175,25,290,0.548,5,35,97,1,9,12,28,0.3788927335640138,0.9268927335640138
79198,122.80000000000001,6.15,13.0,4.0,윤진호,2018,102,61,53,0.208,11,0,14,0.264,0,2,14,0,2,2,32,0.2631578947368421,0.527157894736842
